persona_id,temperatura_lead,prioridade_retencao_mock,objecao_esperada,segmentacao_psicologica_mock,evento_vida_prioritario_mock,next_best_action_mock,produto_ou_tema_prioritario,melhor_canal_prescritivo_mock,urgencia,motivo_nba,mensagem_consultiva_sugerida,guardrail
PRI-001,Quente,Alta,Quer confirmar regras antes de contratar,Sofisticado internacional,Abertura de empresa,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Abertura de empresa.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-002,Quente,Média,Prefere manter investimentos pulverizados,Investidor de impacto,Compra de imóvel planejada,Oferecer diagnóstico de proteção familiar,Seguro de vida,Gerente Principal,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como investidor de impacto, conectando Seguro de vida ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-003,Quente,Média,Quer confirmar regras antes de contratar,Protetor familiar,Abertura de empresa,Agendar conversa de wealth planning,Wealth Planning,Videochamada,Alta,Evento patrimonial ou familiar indica oportunidade de planejamento sucessório e proteção.,"Abordar como protetor familiar, conectando Wealth Planning ao momento de vida: Abertura de empresa.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-004,Quente,Alta,Ainda não percebe valor no segmento Principal,Conservador de legado,Renovação de cartão premium,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como conservador de legado, conectando Retenção/Relacionamento ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-005,Quente,Alta,Quer confirmar regras antes de contratar,Empreendedor oportunista,Compra de imóvel planejada,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-006,Quente,Baixa,Tem dúvida sobre custo-benefício da anuidade,Empreendedor oportunista,Revisão sucessória familiar,Agendar conversa de wealth planning,Wealth Planning,App Bradesco,Alta,Evento patrimonial ou familiar indica oportunidade de planejamento sucessório e proteção.,"Abordar como empreendedor oportunista, conectando Wealth Planning ao momento de vida: Revisão sucessória familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-007,Quente,Baixa,Quer confirmar regras antes de contratar,Gastador planejado,Renovação de cartão premium,Oferecer diagnóstico de proteção familiar,Seguro de vida,Videochamada,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como gastador planejado, conectando Seguro de vida ao momento de vida: Renovação de cartão premium.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-008,Nutrição,Baixa,Prefere manter investimentos pulverizados,Investidor de impacto,Liquidação de investimento relevante,Oferecer diagnóstico de proteção familiar,Seguro de vida,WhatsApp oficial,Baixa,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como investidor de impacto, conectando Seguro de vida ao momento de vida: Liquidação de investimento relevante.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-009,Morno,Baixa,Ainda não percebe valor no segmento Principal,Otimizador de benefícios,Herança em organização,Solicitar consentimento Open Finance de forma transparente,Open Finance,WhatsApp oficial,Média,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como otimizador de benefícios, conectando Open Finance ao momento de vida: Herança em organização.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-010,Quente,Baixa,Tem dúvida sobre custo-benefício da anuidade,Empreendedor oportunista,Compra de imóvel planejada,Solicitar consentimento Open Finance de forma transparente,Open Finance,App Bradesco,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como empreendedor oportunista, conectando Open Finance ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-011,Quente,Baixa,Quer confirmar regras antes de contratar,Gastador planejado,Mudança de cidade,Solicitar consentimento Open Finance de forma transparente,Open Finance,Videochamada,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como gastador planejado, conectando Open Finance ao momento de vida: Mudança de cidade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-012,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Gastador planejado,Nascimento de filho,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como gastador planejado, conectando Retenção/Relacionamento ao momento de vida: Nascimento de filho.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-013,Quente,Alta,Prefere manter investimentos pulverizados,Empreendedor oportunista,Casamento ou união estável,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Casamento ou união estável.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-014,Quente,Alta,Já possui cartão premium em outro banco,Empreendedor oportunista,Abertura de empresa,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Abertura de empresa.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-015,Quente,Alta,Prefere manter investimentos pulverizados,Protetor familiar,Revisão sucessória familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,E-mail corporativo validado,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como protetor familiar, conectando Retenção/Relacionamento ao momento de vida: Revisão sucessória familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-016,Quente,Alta,Não usa todos os benefícios atuais,Sofisticado internacional,Filho entrando na faculdade,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Videochamada,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Filho entrando na faculdade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-017,Quente,Alta,Prefere manter investimentos pulverizados,Acumulador patrimonial,Nascimento de filho,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como acumulador patrimonial, conectando Retenção/Relacionamento ao momento de vida: Nascimento de filho.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-018,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Otimizador de benefícios,Recebimento de bônus anual,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como otimizador de benefícios, conectando Retenção/Relacionamento ao momento de vida: Recebimento de bônus anual.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-019,Quente,Baixa,Não usa todos os benefícios atuais,Otimizador de benefícios,Viagem internacional relevante,Oferecer diagnóstico de proteção familiar,Seguro de vida,Gerente Principal,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como otimizador de benefícios, conectando Seguro de vida ao momento de vida: Viagem internacional relevante.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-020,Quente,Média,Não usa todos os benefícios atuais,Conservador de legado,Compra de imóvel planejada,Solicitar consentimento Open Finance de forma transparente,Open Finance,Gerente Principal,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como conservador de legado, conectando Open Finance ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-021,Quente,Média,Não usa todos os benefícios atuais,Conservador de legado,Casamento ou união estável,Oferecer diagnóstico de proteção familiar,Seguro de vida,Gerente Principal,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como conservador de legado, conectando Seguro de vida ao momento de vida: Casamento ou união estável.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-022,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Gastador planejado,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Videochamada,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como gastador planejado, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-023,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Protetor familiar,Liquidação de investimento relevante,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como protetor familiar, conectando Retenção/Relacionamento ao momento de vida: Liquidação de investimento relevante.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-024,Quente,Alta,Quer confirmar regras antes de contratar,Investidor de impacto,Venda de participação societária,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Agência,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como investidor de impacto, conectando Retenção/Relacionamento ao momento de vida: Venda de participação societária.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-025,Quente,Média,Tem dúvida sobre custo-benefício da anuidade,Conservador de legado,Venda de participação societária,Solicitar consentimento Open Finance de forma transparente,Open Finance,E-mail corporativo validado,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como conservador de legado, conectando Open Finance ao momento de vida: Venda de participação societária.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-026,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Otimizador de benefícios,Nascimento de filho,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como otimizador de benefícios, conectando Retenção/Relacionamento ao momento de vida: Nascimento de filho.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-027,Quente,Baixa,Prefere manter investimentos pulverizados,Investidor de impacto,Mudança de cidade,Apresentar cartão Principal por aderência,Bradesco Principal,Gerente Principal,Alta,Cartão Bradesco Principal tem maior aderência ao perfil informado e aos objetivos de benefícios.,"Abordar como investidor de impacto, conectando Bradesco Principal ao momento de vida: Mudança de cidade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-028,Quente,Baixa,Quer confirmar regras antes de contratar,Protetor familiar,Liquidação de investimento relevante,Solicitar consentimento Open Finance de forma transparente,Open Finance,Agência,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como protetor familiar, conectando Open Finance ao momento de vida: Liquidação de investimento relevante.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-029,Quente,Alta,Quer confirmar regras antes de contratar,Gastador planejado,Compra de imóvel planejada,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como gastador planejado, conectando Retenção/Relacionamento ao momento de vida: Compra de imóvel planejada.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-030,Quente,Média,Não usa todos os benefícios atuais,Protetor familiar,Viagem internacional relevante,Oferecer diagnóstico de proteção familiar,Seguro de vida,App Bradesco,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como protetor familiar, conectando Seguro de vida ao momento de vida: Viagem internacional relevante.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-031,Morno,Alta,Já possui cartão premium em outro banco,Conservador de legado,Planejamento de aposentadoria,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Videochamada,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como conservador de legado, conectando Retenção/Relacionamento ao momento de vida: Planejamento de aposentadoria.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-032,Quente,Baixa,Não usa todos os benefícios atuais,Conservador de legado,Casamento ou união estável,Solicitar consentimento Open Finance de forma transparente,Open Finance,Gerente Principal,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como conservador de legado, conectando Open Finance ao momento de vida: Casamento ou união estável.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-033,Morno,Alta,Quer confirmar regras antes de contratar,Conservador de legado,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,E-mail corporativo validado,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como conservador de legado, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-034,Quente,Alta,Não usa todos os benefícios atuais,Empreendedor oportunista,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Videochamada,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como empreendedor oportunista, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-035,Quente,Alta,Prefere manter investimentos pulverizados,Sofisticado internacional,Saída de dependente da folha familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como sofisticado internacional, conectando Retenção/Relacionamento ao momento de vida: Saída de dependente da folha familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-036,Quente,Baixa,Prefere manter investimentos pulverizados,Investidor de impacto,Planejamento de aposentadoria,Oferecer diagnóstico de proteção familiar,Seguro de vida,Videochamada,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como investidor de impacto, conectando Seguro de vida ao momento de vida: Planejamento de aposentadoria.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-037,Quente,Baixa,Ainda não percebe valor no segmento Principal,Otimizador de benefícios,Promoção para cargo executivo,Solicitar consentimento Open Finance de forma transparente,Open Finance,WhatsApp oficial,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como otimizador de benefícios, conectando Open Finance ao momento de vida: Promoção para cargo executivo.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-038,Quente,Baixa,Tem dúvida sobre custo-benefício da anuidade,Sofisticado internacional,Promoção para cargo executivo,Solicitar consentimento Open Finance de forma transparente,Open Finance,Gerente Principal,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como sofisticado internacional, conectando Open Finance ao momento de vida: Promoção para cargo executivo.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-039,Morno,Alta,Tem dúvida sobre custo-benefício da anuidade,Conservador de legado,Venda de participação societária,Trabalhar retenção antes de oferta,Retenção/Relacionamento,WhatsApp oficial,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como conservador de legado, conectando Retenção/Relacionamento ao momento de vida: Venda de participação societária.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-040,Morno,Baixa,Prefere manter investimentos pulverizados,Otimizador de benefícios,Nascimento de filho,Oferecer diagnóstico de proteção familiar,Seguro de vida,Gerente Principal,Média,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como otimizador de benefícios, conectando Seguro de vida ao momento de vida: Nascimento de filho.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-041,Quente,Alta,Não usa todos os benefícios atuais,Protetor familiar,Herança em organização,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como protetor familiar, conectando Retenção/Relacionamento ao momento de vida: Herança em organização.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-042,Quente,Baixa,Quer confirmar regras antes de contratar,Gastador planejado,Promoção para cargo executivo,Oferecer diagnóstico de proteção familiar,Seguro de vida,App Bradesco,Alta,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como gastador planejado, conectando Seguro de vida ao momento de vida: Promoção para cargo executivo.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-043,Quente,Alta,Quer confirmar regras antes de contratar,Protetor familiar,Mudança de cidade,Trabalhar retenção antes de oferta,Retenção/Relacionamento,App Bradesco,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como protetor familiar, conectando Retenção/Relacionamento ao momento de vida: Mudança de cidade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-044,Quente,Alta,Tem dúvida sobre custo-benefício da anuidade,Acumulador patrimonial,Abertura de empresa,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Videochamada,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como acumulador patrimonial, conectando Retenção/Relacionamento ao momento de vida: Abertura de empresa.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-045,Morno,Média,Não usa todos os benefícios atuais,Protetor familiar,Filho entrando na faculdade,Solicitar consentimento Open Finance de forma transparente,Open Finance,App Bradesco,Média,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como protetor familiar, conectando Open Finance ao momento de vida: Filho entrando na faculdade.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-046,Morno,Alta,Já possui cartão premium em outro banco,Conservador de legado,Expansão da empresa familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,E-mail corporativo validado,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como conservador de legado, conectando Retenção/Relacionamento ao momento de vida: Expansão da empresa familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-047,Quente,Média,Já possui cartão premium em outro banco,Acumulador patrimonial,Recebimento de bônus anual,Solicitar consentimento Open Finance de forma transparente,Open Finance,Videochamada,Alta,Há gap de patrimônio estimado e oportunidade de mapear ativos externos com autorização do cliente.,"Abordar como acumulador patrimonial, conectando Open Finance ao momento de vida: Recebimento de bônus anual.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-048,Morno,Baixa,Prefere manter investimentos pulverizados,Protetor familiar,Promoção para cargo executivo,Oferecer diagnóstico de proteção familiar,Seguro de vida,App Bradesco,Média,Lacuna de proteção familiar com perfil de alta renda exige abordagem consultiva.,"Abordar como protetor familiar, conectando Seguro de vida ao momento de vida: Promoção para cargo executivo.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
PRI-049,Quente,Alta,Prefere manter investimentos pulverizados,Gastador planejado,Saída de dependente da folha familiar,Trabalhar retenção antes de oferta,Retenção/Relacionamento,Gerente Principal,Alta,"Risco de churn ou baixo share wallet. Priorizar confiança, valor percebido e redução de fricção.","Abordar como gastador planejado, conectando Retenção/Relacionamento ao momento de vida: Saída de dependente da folha familiar.","Recomendação prescritiva fictícia. Não representa oferta real, aprovação de crédito ou regra oficial do banco."
